Total Weight,volume,Average Weight,Number Density,Mass Density,Bond Length,Number of Atom,Number of unpaired Electron,Average Number of Electron,Maximun Principle quantum number,Pauling Electronegativity,DFT Heat Capcity,Log(DFT LTC)
653.23,117.07,163.31,0.03,9.27,3.46,4.00,0.75,65.75,5.50,1.60,98.69490179,0.058501943
968.20,294.22,53.79,0.06,5.46,2.12,18.00,1.89,23.00,3.11,2.85,367.4428806,-0.399637069
1421.17,447.38,142.12,0.02,5.27,3.01,10.00,1.00,58.60,5.40,2.23,246.7434822,-1.182729992
221.24,36.20,110.62,0.06,10.15,2.86,2.00,0.50,47.50,4.50,1.99,48.8460362,0.118958778
217.72,34.06,108.86,0.06,10.61,2.81,2.00,2.00,47.00,5.00,2.03,48.1983401,0.995082104
1782.10,370.77,111.38,0.04,7.98,2.73,16.00,1.75,47.75,5.00,1.89,384.9622347,0.531713032
249.69,93.16,62.42,0.04,4.45,3.21,4.00,1.00,28.00,4.25,1.47,95.7743709,0.888763404
242.42,62.26,121.21,0.03,6.47,3.15,2.00,1.50,50.50,5.00,1.94,49.33247229,0.446614824
203.72,53.62,101.86,0.04,6.31,3.27,2.00,1.00,44.00,5.00,1.50,48.73764682,0.693181541
433.36,100.90,108.34,0.04,7.13,3.29,4.00,1.00,46.50,5.00,1.64,97.801384,0.565316427
388.49,89.95,97.12,0.04,7.17,3.17,4.00,1.75,42.25,5.00,1.44,96.2722448,1.198079476
331.29,90.49,165.64,0.02,6.08,3.56,2.00,1.00,67.00,5.50,2.23,49.70608348,-0.262211208
123.99,106.42,20.67,0.06,1.93,2.58,6.00,1.33,10.00,2.67,1.50,133.2654638,0.652929326
259.81,121.44,129.90,0.02,3.55,3.93,2.00,1.00,54.00,5.50,1.73,49.6865097,0.261714776
239.84,69.58,119.92,0.03,5.72,3.26,2.00,1.00,49.00,4.50,2.48,49.40720475,-0.272751625
284.29,77.80,142.14,0.03,6.07,3.39,2.00,1.00,58.00,5.00,2.38,49.63369228,-0.343623862
165.37,74.10,82.69,0.03,3.71,3.64,2.00,1.00,36.00,4.50,1.89,49.50604552,0.095970922
212.37,90.53,106.19,0.02,3.90,3.89,2.00,1.00,45.00,5.00,1.74,49.63628238,-0.115606842
166.00,81.98,83.00,0.02,3.36,3.76,2.00,1.00,36.00,4.50,1.74,49.48181038,-0.272963273
119.00,66.05,59.50,0.03,2.99,3.50,2.00,1.00,27.00,4.00,1.89,49.28187341,0.003503615
60.96,22.47,30.48,0.09,4.51,2.24,2.00,1.50,14.50,3.00,2.40,41.67358136,1.869788902
3904.87,787.90,162.70,0.03,8.23,3.11,24.00,1.33,65.67,5.50,1.92,594.3324673,-0.7087866
239.27,54.26,119.63,0.04,7.32,3.00,2.00,2.00,49.00,4.50,2.19,48.52703877,0.256837966
129.62,77.24,32.40,0.05,2.79,2.58,4.00,1.00,16.00,3.25,2.05,89.33906551,0.871689666
191.68,122.94,13.69,0.11,2.59,1.79,14.00,1.29,6.43,2.14,2.06,164.1914427,2.264990877
339.83,171.06,28.32,0.07,3.30,1.73,12.00,1.33,13.00,2.33,3.68,232.6503028,-0.38009313
1810.53,353.28,113.16,0.05,8.51,2.30,16.00,0.75,46.25,4.25,2.60,369.7906781,-0.159260499
574.38,299.63,57.44,0.03,3.18,2.88,10.00,1.00,25.40,3.70,2.27,240.9935973,-0.448708622
1156.58,625.94,72.29,0.03,3.07,3.48,16.00,1.38,31.38,4.38,1.30,393.226474,-0.773391504
116.73,63.33,23.35,0.08,3.06,2.16,5.00,1.20,10.40,2.40,1.87,105.1202455,0.707885138
347.28,182.90,57.88,0.03,3.15,3.11,6.00,1.33,24.67,3.67,1.30,141.6582008,0.482902155
250.00,149.58,41.67,0.04,2.78,2.90,6.00,1.33,18.67,3.33,1.45,139.6870238,0.723069643
101.90,47.14,50.95,0.04,3.59,2.48,2.00,2.00,23.00,3.50,1.90,44.37152007,1.978910577
281.05,171.72,46.84,0.03,2.72,3.03,6.00,1.33,21.33,3.67,1.44,144.0915288,0.127914294
133.91,66.69,66.96,0.03,3.33,3.22,2.00,1.00,28.00,3.50,1.50,41.26752622,0.31877266
1730.94,532.38,96.16,0.03,5.40,2.96,18.00,1.33,41.33,4.67,2.10,435.6599914,0.381722608
168.87,50.43,56.29,0.06,5.56,2.47,3.00,1.33,24.67,3.33,1.99,53.38752612,1.541450268
426.39,225.04,30.46,0.06,3.15,2.12,14.00,1.71,14.86,3.14,1.96,284.8994188,1.191559994
248.88,82.19,49.78,0.06,5.03,2.35,5.00,0.80,22.00,3.00,2.99,116.6156809,0.16657811
235.07,153.89,58.77,0.03,2.54,2.76,4.00,1.50,26.50,4.00,1.70,95.54317034,0.282508824
921.38,321.85,65.81,0.04,4.75,2.46,14.00,2.14,29.00,4.00,2.07,330.6796297,0.444200989
64.33,44.43,16.08,0.09,2.40,1.48,4.00,2.00,8.00,2.25,2.49,65.55539998,1.289075879
1035.91,400.02,73.99,0.03,4.30,2.69,14.00,1.43,32.29,4.14,1.99,334.0090101,0.600166689
297.53,57.52,59.51,0.09,8.59,2.09,5.00,4.00,26.40,3.80,1.93,106.2766235,1.226135722
244.23,53.10,48.85,0.09,7.64,2.04,5.00,3.60,22.40,3.60,1.87,103.5896012,1.680770497
